31
10
[0.02,0.2595,0]
[0.01875,0.2595,0]
[0.0175,0.2595,0]
[0.01625,0.2595,0]
[0.015,0.2595,0]
[0.01375,0.2595,0]
[0.0125,0.2595,0]
[0.01125,0.2595,0]
[0.01,0.2595,0]
[0.00875,0.2595,0]
[0.0075,0.2595,0]
[0.0075,0.2595,0]
[0.0075,0.2595,0]
[0.0075,0.2595,0]
[0.0075,0.2595,0]
[0.0075,0.2595,0]
[0.0075,0.2595,0]
[0.0075,0.2595,0]
[0.0075,0.2595,0]
[0.0075,0.2595,0]
[0.0075,0.2595,0]
[0.00875,0.2595,0]
[0.01,0.2595,0]
[0.01125,0.2595,0]
[0.0125,0.2595,0]
[0.01375,0.2595,0]
[0.015,0.2595,0]
[0.01625,0.2595,0]
[0.0175,0.2595,0]
[0.01875,0.2595,0]
[0.02,0.2595,0]
[1,0,0,0]
[1,0,0,0]
[1,0,0,0]
[1,0,0,0]
[1,0,0,0]
[1,0,0,0]
[1,0,0,0]
[1,0,0,0]
[1,0,0,0]
[1,0,0,0]
[1,0,0,0]
[1,0,0,0]
[1,0,0,0]
[1,0,0,0]
[1,0,0,0]
[1,0,0,0]
[1,0,0,0]
[1,0,0,0]
[1,0,0,0]
[1,0,0,0]
[1,0,0,0]
[1,0,0,0]
[1,0,0,0]
[1,0,0,0]
[1,0,0,0]
[1,0,0,0]
[1,0,0,0]
[1,0,0,0]
[1,0,0,0]
[1,0,0,0]
[1,0,0,0]
