31
10
[0.021,0.14659,-0.21871]
[0.0311,0.14659,-0.21871]
[0.0412,0.14659,-0.21871]
[0.0513,0.14659,-0.21871]
[0.0614,0.14659,-0.21871]
[0.0715,0.14659,-0.21871]
[0.0816,0.14659,-0.21871]
[0.0917,0.14659,-0.21871]
[0.1018,0.14659,-0.21871]
[0.1119,0.14659,-0.21871]
[0.122,0.14659,-0.21871]
[0.122,0.14659,-0.21871]
[0.122,0.14659,-0.21871]
[0.122,0.14659,-0.21871]
[0.122,0.14659,-0.21871]
[0.122,0.14659,-0.21871]
[0.122,0.14659,-0.21871]
[0.122,0.14659,-0.21871]
[0.122,0.14659,-0.21871]
[0.122,0.14659,-0.21871]
[0.122,0.14659,-0.21871]
[0.1119,0.14659,-0.21871]
[0.1018,0.14659,-0.21871]
[0.0917,0.14659,-0.21871]
[0.0816,0.14659,-0.21871]
[0.0715,0.14659,-0.21871]
[0.0614,0.14659,-0.21871]
[0.0513,0.14659,-0.21871]
[0.0412,0.14659,-0.21871]
[0.0311,0.14659,-0.21871]
[0.021,0.14659,-0.21871]
[1,0,0,0]
[1,0,0,0]
[1,0,0,0]
[1,0,0,0]
[1,0,0,0]
[1,0,0,0]
[1,0,0,0]
[1,0,0,0]
[1,0,0,0]
[1,0,0,0]
[1,0,0,0]
[1,0,0,0]
[1,0,0,0]
[1,0,0,0]
[1,0,0,0]
[1,0,0,0]
[1,0,0,0]
[1,0,0,0]
[1,0,0,0]
[1,0,0,0]
[1,0,0,0]
[1,0,0,0]
[1,0,0,0]
[1,0,0,0]
[1,0,0,0]
[1,0,0,0]
[1,0,0,0]
[1,0,0,0]
[1,0,0,0]
[1,0,0,0]
[1,0,0,0]
