42
10
[0,0,0]
[0,0,0]
[0,0,0]
[0,0,0]
[0,0,0]
[0,0,0]
[0,0,0]
[0,0,0]
[0,0,0]
[0,0,0]
[0,0,0]
[0,0,0]
[0,0,0]
[0,0,0]
[0.0265,0,0]
[0.053,0,0]
[0.0795,0,0]
[0.106,0,0]
[0.1325,0,0]
[0.159,0,0]
[0.1855,0,0]
[0.212,0,0]
[0.2385,0,0]
[0.265,0,0]
[0.265,0,0]
[0.265,0,0]
[0.265,0,0]
[0.265,0,0]
[0.265,0,0]
[0.265,0,0]
[0.265,0,0]
[0.265,0,0]
[0.2385,0,0]
[0.212,0,0]
[0.1855,0,0]
[0.159,0,0]
[0.1325,0,0]
[0.106,0,0]
[0.0795,0,0]
[0.053,0,0]
[0.0265,0,0]
[0,0,0]
[1,0,0,0]
[1,0,0,0]
[1,0,0,0]
[1,0,0,0]
[1,0,0,0]
[1,0,0,0]
[1,0,0,0]
[1,0,0,0]
[1,0,0,0]
[1,0,0,0]
[1,0,0,0]
[1,0,0,0]
[1,0,0,0]
[1,0,0,0]
[1,0,0,0]
[1,0,0,0]
[1,0,0,0]
[1,0,0,0]
[1,0,0,0]
[1,0,0,0]
[1,0,0,0]
[1,0,0,0]
[1,0,0,0]
[1,0,0,0]
[1,0,0,0]
[1,0,0,0]
[1,0,0,0]
[1,0,0,0]
[1,0,0,0]
[1,0,0,0]
[1,0,0,0]
[1,0,0,0]
[1,0,0,0]
[1,0,0,0]
[1,0,0,0]
[1,0,0,0]
[1,0,0,0]
[1,0,0,0]
[1,0,0,0]
[1,0,0,0]
[1,0,0,0]
[1,0,0,0]
